,precision,recall,f1-score,support
A,1.0,0.9966666666666667,0.998330550918197,600.0
B,1.0,0.9983333333333333,0.9991659716430359,600.0
C,1.0,1.0,1.0,600.0
D,1.0,1.0,1.0,600.0
E,0.9966777408637874,1.0,0.9983361064891847,600.0
F,1.0,1.0,1.0,600.0
G,0.9983361064891847,1.0,0.9991673605328892,600.0
H,1.0,1.0,1.0,600.0
I,1.0,0.9933333333333333,0.9966555183946488,600.0
J,1.0,1.0,1.0,600.0
K,1.0,0.9983333333333333,0.9991659716430359,600.0
L,1.0,1.0,1.0,600.0
M,0.9884488448844885,0.9983333333333333,0.9933665008291874,600.0
N,0.9966442953020134,0.99,0.9933110367892977,600.0
O,1.0,1.0,1.0,600.0
P,1.0,1.0,1.0,600.0
Q,1.0,1.0,1.0,600.0
R,1.0,1.0,1.0,600.0
S,0.9966777408637874,1.0,0.9983361064891847,600.0
T,0.9983333333333333,0.9983333333333333,0.9983333333333333,600.0
U,1.0,1.0,1.0,600.0
V,1.0,1.0,1.0,600.0
W,1.0,1.0,1.0,600.0
X,1.0,1.0,1.0,600.0
Y,0.9950248756218906,1.0,0.9975062344139651,600.0
Z,1.0,1.0,1.0,600.0
del,1.0,0.9966666666666667,0.998330550918197,600.0
nothing,1.0,1.0,1.0,600.0
space,1.0,1.0,1.0,600.0
accuracy,0.9989655172413793,0.9989655172413793,0.9989655172413793,0.9989655172413793
macro avg,0.9989704461158099,0.9989655172413793,0.9989656980135916,17400.0
weighted avg,0.9989704461158099,0.9989655172413793,0.9989656980135916,17400.0
